is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
10.34,2.5,16.93,29.79,0.37,-0.05,0.55,-0.07,-30.64,-15.44
2.07,-10.65,20.98,19.05,-0.09,-0.77,-0.12,-0.95,-24.17,-10.68
8.16,3.54,17.29,13.39,0.24,-0.03,0.32,-0.05,-20.55,-9.22
21.54,15.69,16.78,21.0,1.05,0.56,1.45,0.62,-16.21,-13.85
5.43,-13.45,15.44,26.96,0.09,-0.65,0.13,-0.86,-26.5,-17.92
-8.98,64.57,20.54,17.12,-0.63,3.54,-0.92,4.33,-47.74,-8.55
6.73,27.11,20.22,15.85,0.14,1.46,0.2,2.38,-24.66,-9.08
22.24,20.9,17.53,13.92,1.04,1.21,1.42,1.76,-15.68,-8.25
26.98,1.52,12.93,14.97,1.78,-0.17,2.48,-0.23,-13.62,-6.5
10.9,39.39,18.31,16.97,0.38,2.09,0.45,3.34,-18.36,-6.24
9.0,1.13,16.09,26.23,0.31,-0.11,0.45,-0.13,-21.41,-17.4
22.17,14.52,17.93,18.88,1.01,0.56,1.34,1.11,-18.97,-10.43
15.76,-12.54,16.01,24.05,0.73,-0.69,1.05,-1.14,-13.57,-17.2
23.45,14.19,19.09,21.03,1.02,0.48,1.41,0.69,-23.11,-12.22
29.57,61.65,19.34,19.31,1.32,2.98,1.74,4.56,-17.29,-6.83
5.49,15.7,19.35,15.88,0.08,0.74,0.1,0.97,-28.49,-10.91
0.44,17.33,16.47,14.55,-0.22,0.92,-0.29,1.15,-31.68,-8.14
22.85,-1.35,18.67,13.58,1.01,-0.39,1.31,-0.55,-19.91,-9.64
5.01,12.36,20.11,16.26,0.05,0.51,0.07,0.68,-21.81,-9.89
-7.52,-13.82,20.78,16.01,-0.55,-1.11,-0.74,-1.63,-34.97,-13.47
-2.48,32.4,18.93,14.14,-0.34,2.01,-0.42,3.43,-33.09,-5.38
-1.07,22.75,17.66,13.56,-0.29,1.38,-0.4,1.89,-32.87,-9.71
4.59,9.39,19.99,14.85,0.03,0.36,0.04,0.56,-33.96,-8.58
-4.04,-16.47,21.35,18.0,-0.38,-1.14,-0.51,-1.94,-42.67,-15.58
2.59,-9.28,18.57,28.74,-0.08,-0.46,-0.1,-0.82,-30.67,-19.86
12.9,-12.19,23.03,20.06,0.39,-0.81,0.53,-1.09,-22.07,-21.1
17.04,-4.99,18.07,23.46,0.72,-0.38,1.0,-0.57,-18.5,-14.14
8.32,33.32,18.92,15.02,0.23,1.95,0.3,3.18,-21.06,-8.16
6.89,22.89,18.16,16.7,0.16,1.13,0.22,1.67,-25.64,-6.55
34.51,-36.2,14.88,27.45,2.05,-1.46,2.89,-2.19,-16.75,-24.07
10.12,-11.13,17.45,16.8,0.35,-0.9,0.48,-1.06,-24.76,-11.89
-9.42,4.09,20.69,20.14,-0.65,0.0,-0.9,0.01,-40.14,-18.17
11.31,7.91,18.85,13.73,0.39,0.28,0.51,0.4,-31.52,-8.07
-12.2,19.11,29.05,14.04,-0.56,1.08,-0.78,1.52,-49.08,-10.9
8.21,-20.64,19.51,20.83,0.22,-1.18,0.28,-1.38,-24.84,-16.0
4.02,0.1,19.68,19.06,0.0,-0.2,0.0,-0.35,-41.12,-11.41
5.11,30.32,19.14,16.69,0.06,1.58,0.08,2.34,-27.84,-6.55
7.69,-17.75,18.15,17.47,0.2,-1.25,0.26,-1.7,-42.34,-14.46
0.9,-37.99,24.83,28.21,-0.12,-1.49,-0.16,-2.27,-44.47,-28.09
6.78,-32.76,19.91,14.9,0.14,-2.47,0.18,-3.73,-21.5,-24.37
11.48,-25.25,15.23,21.97,0.49,-1.33,0.66,-1.84,-29.02,-25.4
1.2,95.91,20.44,23.04,-0.14,3.99,-0.17,6.45,-35.99,-6.33
3.88,-37.44,19.84,15.16,-0.01,-2.73,-0.01,-3.62,-30.28,-23.41
13.61,17.74,20.0,19.5,0.48,0.7,0.6,0.91,-23.13,-11.01
19.37,41.13,17.97,10.56,0.86,3.52,1.12,5.68,-21.11,-5.35
14.23,-10.73,22.05,21.07,0.46,-0.7,0.68,-1.03,-21.89,-20.92
4.51,33.47,21.67,11.56,0.02,2.55,0.03,3.62,-27.26,-4.52
3.13,-8.02,18.5,16.95,-0.05,-0.71,-0.07,-0.97,-39.68,-12.17
9.65,10.33,17.5,24.06,0.32,0.26,0.41,0.41,-30.57,-14.12
-9.2,24.98,19.72,18.13,-0.67,1.16,-0.93,1.4,-46.31,-7.73
19.08,-31.2,20.3,14.89,0.74,-2.36,0.94,-3.31,-28.51,-18.82
-0.39,20.82,19.86,15.27,-0.22,1.1,-0.3,1.97,-26.85,-8.31
5.68,17.27,18.79,18.89,0.09,0.7,0.12,0.95,-26.51,-9.23
14.55,-20.18,18.93,32.76,0.56,-0.74,0.74,-1.1,-20.89,-19.96
-3.27,8.73,18.81,14.34,-0.39,0.33,-0.5,0.5,-39.83,-6.32
14.39,-3.6,18.04,13.85,0.58,-0.55,0.8,-0.75,-18.29,-16.76
17.05,6.82,21.69,30.32,0.6,0.09,0.84,0.15,-35.13,-13.93
-0.1,3.98,19.72,20.69,-0.21,-0.0,-0.28,-0.0,-34.46,-13.26
6.03,-16.91,19.42,24.41,0.1,-0.86,0.13,-1.21,-20.14,-22.34
12.15,33.68,16.15,15.65,0.5,1.9,0.66,2.72,-16.92,-12.01
16.66,-7.09,16.96,27.96,0.75,-0.4,1.02,-0.51,-16.42,-18.32
7.67,38.12,25.32,13.57,0.15,2.51,0.21,2.51,-31.75,-5.74
20.87,-17.49,19.11,16.24,0.88,-1.32,1.22,-2.0,-16.53,-18.98
20.67,23.27,16.94,16.32,0.98,1.18,1.29,1.53,-15.72,-6.08
11.23,18.8,17.75,23.67,0.41,0.63,0.54,0.93,-28.21,-16.07
10.09,13.06,20.48,20.5,0.3,0.44,0.38,0.7,-24.46,-11.01
1.09,-7.34,19.1,16.87,-0.15,-0.67,-0.2,-1.2,-30.01,-8.24
0.85,-2.27,17.28,16.2,-0.18,-0.39,-0.26,-0.53,-33.13,-10.97
17.8,14.06,16.61,19.03,0.83,0.53,1.08,0.91,-23.35,-12.74
9.03,5.98,19.77,17.52,0.25,0.11,0.36,0.18,-24.06,-11.54
8.59,-27.13,20.89,22.33,0.22,-1.39,0.31,-1.91,-38.2,-19.61
3.64,10.41,19.47,18.84,-0.02,0.34,-0.02,0.48,-24.7,-10.86
4.29,24.68,19.44,14.63,0.01,1.41,0.02,1.72,-34.34,-10.41
29.64,-13.04,17.68,24.31,1.45,-0.7,2.08,-1.16,-17.82,-19.91
13.35,13.92,18.76,14.64,0.5,0.68,0.7,0.99,-28.17,-12.93
6.28,1.04,15.97,12.44,0.14,-0.24,0.18,-0.35,-31.02,-11.61
-0.01,1.79,17.69,16.8,-0.23,-0.13,-0.31,-0.2,-33.26,-11.24
11.06,-26.92,18.34,24.94,0.39,-1.24,0.54,-1.94,-27.08,-28.09
12.77,61.4,17.91,18.22,0.49,3.15,0.64,5.1,-17.73,-6.89
17.21,0.24,19.51,21.04,0.68,-0.18,0.94,-0.24,-24.13,-17.37
-2.29,-14.92,21.93,20.04,-0.29,-0.94,-0.42,-1.38,-29.14,-12.45
30.36,25.21,14.07,15.44,1.87,1.37,2.77,2.09,-10.36,-10.22
3.4,-11.92,20.9,42.4,-0.03,-0.38,-0.04,-0.54,-27.12,-19.98
-4.71,8.82,18.37,38.86,-0.47,0.12,-0.64,0.21,-38.55,-14.21
6.05,69.4,17.72,21.3,0.12,3.07,0.15,3.88,-19.61,-10.28
21.5,10.15,16.29,14.46,1.07,0.43,1.53,0.58,-19.23,-10.6
24.85,-8.11,17.92,22.79,1.16,-0.53,1.71,-0.68,-13.72,-17.91
7.78,-33.1,17.42,26.26,0.22,-1.41,0.28,-1.95,-35.95,-22.43
5.49,17.74,18.69,16.99,0.08,0.81,0.11,1.11,-28.93,-7.76
11.72,47.42,19.35,13.11,0.4,3.31,0.56,5.12,-22.34,-4.6
3.47,26.59,21.95,16.92,-0.02,1.34,-0.04,1.97,-27.19,-10.26
10.03,37.61,21.12,21.87,0.29,1.54,0.41,2.31,-20.05,-12.03
21.81,27.92,15.64,13.91,1.14,1.72,1.69,2.55,-17.53,-5.54
22.64,-18.25,19.03,29.47,0.98,-0.76,1.33,-1.06,-27.01,-16.3
12.89,25.19,22.1,15.24,0.4,1.39,0.51,1.93,-22.76,-8.22
-4.59,2.64,22.36,16.51,-0.38,-0.08,-0.48,-0.13,-38.51,-11.26
20.9,-20.45,18.36,18.37,0.92,-1.33,1.28,-1.65,-18.1,-23.56
10.1,6.15,17.89,17.0,0.34,0.13,0.46,0.17,-22.52,-9.46
18.05,10.76,19.04,18.57,0.74,0.36,1.0,0.66,-23.71,-10.41
7.12,22.59,18.86,15.31,0.17,1.21,0.24,1.48,-25.9,-7.93
5.41,-8.53,18.93,26.11,0.07,-0.48,0.1,-0.73,-30.96,-19.15
12.92,25.97,18.51,16.25,0.48,1.35,0.64,2.21,-23.47,-9.6
5.6,7.53,18.34,23.94,0.09,0.15,0.12,0.21,-25.42,-8.21
16.94,26.98,17.49,18.43,0.74,1.25,0.97,1.68,-21.65,-10.05
6.45,15.4,23.94,16.89,0.1,0.67,0.15,1.0,-36.82,-9.47
2.64,-2.45,23.28,19.76,-0.06,-0.33,-0.08,-0.5,-26.3,-8.68
3.44,6.76,16.27,16.94,-0.03,0.16,-0.05,0.24,-24.47,-9.33
12.5,-8.42,16.98,13.93,0.5,-0.89,0.67,-1.24,-28.01,-15.95
10.83,-9.78,16.74,21.99,0.41,-0.63,0.56,-1.01,-28.89,-14.52
11.71,15.75,18.12,18.09,0.43,0.65,0.58,1.09,-19.03,-8.72
2.32,20.7,18.28,14.69,-0.09,1.14,-0.13,1.41,-21.86,-9.02
18.21,-23.08,18.91,21.72,0.75,-1.25,1.04,-1.8,-15.53,-17.03
9.34,14.97,16.6,18.64,0.32,0.59,0.43,1.06,-18.97,-12.87
18.19,24.2,16.05,16.4,0.88,1.23,1.17,1.62,-17.86,-6.46
10.24,28.48,19.1,13.14,0.33,1.86,0.48,2.81,-23.77,-5.34
9.19,11.17,15.68,17.65,0.33,0.41,0.47,0.47,-33.3,-12.45
14.38,13.95,17.36,17.77,0.6,0.56,0.86,0.59,-16.9,-13.07
13.9,-26.54,17.37,25.57,0.57,-1.19,0.78,-1.38,-24.31,-21.67
15.58,25.97,21.52,17.74,0.54,1.24,0.73,1.75,-25.39,-8.8
-10.49,0.81,19.57,19.87,-0.74,-0.16,-1.04,-0.23,-50.4,-8.52
15.22,68.82,16.13,10.96,0.7,5.91,0.9,9.2,-19.18,-3.44
-6.3,7.9,22.97,20.15,-0.45,0.19,-0.62,0.32,-41.48,-10.72
14.36,8.34,17.24,14.48,0.6,0.3,0.75,0.41,-24.11,-9.05
13.63,38.39,15.93,15.36,0.6,2.24,0.87,3.2,-18.98,-5.79
15.29,24.23,22.03,17.85,0.51,1.13,0.77,1.36,-34.42,-8.91
5.14,0.11,17.72,20.12,0.06,-0.19,0.09,-0.26,-18.53,-13.65
17.03,-26.84,15.26,19.28,0.85,-1.6,1.02,-2.28,-18.42,-15.78
3.02,-10.6,17.92,19.67,-0.05,-0.74,-0.07,-0.92,-27.19,-17.01
7.48,22.14,20.4,21.99,0.17,0.83,0.25,1.31,-24.27,-8.73
-2.33,-20.84,25.35,28.75,-0.25,-0.86,-0.32,-1.04,-39.37,-27.91
-12.36,17.91,22.1,21.5,-0.74,0.65,-1.0,0.85,-49.59,-11.67
17.35,12.12,20.74,22.72,0.64,0.36,0.89,0.61,-26.34,-10.87
11.78,17.56,20.02,13.82,0.39,0.98,0.54,1.93,-24.17,-4.76
23.08,-2.19,17.56,13.28,1.09,-0.47,1.65,-0.69,-15.97,-9.43
1.71,-3.14,20.67,16.63,-0.11,-0.43,-0.15,-0.53,-36.46,-11.22
6.86,18.37,19.73,13.49,0.15,1.07,0.21,1.73,-20.6,-10.95
26.64,26.94,17.57,23.5,1.29,0.98,2.04,1.63,-20.64,-8.55
3.77,-11.68,19.32,19.56,-0.01,-0.8,-0.02,-1.02,-23.03,-9.53
21.76,66.77,15.69,14.07,1.13,4.46,1.55,7.19,-15.45,-5.88
20.73,-17.29,17.4,23.45,0.96,-0.91,1.51,-1.16,-17.66,-11.48
14.31,67.85,18.43,16.4,0.56,3.89,0.74,6.87,-31.91,-4.4
