,ALGN,AAPL,PANW,AMD,ZS,MDLZ,XEL,VRSN,INSM,ON,WDAY,ENPH,DLTR,ADI,COST,ABNB,CEG,MSFT,GOOGL,CDNS,PYPL,FAST,JD,MTCH,SNPS,LULU,CMCSA,ADBE,ADSK
2023-01-31,0.7459325052434937,0.4187954600859437,0.39889053466400204,0.7274928479782072,0.7328864026861673,0.027214791588998866,0.004679844823654911,0.011916686216341565,0.17531724620243339,0.31834100686868727,0.4435324244874034,0.634949866693882,0.013770750539116139,0.01615299542236992,0.1499589941195909,0.6429495142291732,0.8243580754985971,0.6729884446493046,0.8495195617092965,0.2393457892809152,0.4081204550861707,0.3629827900095727,0.11923133139099074,0.9027836993595573,0.10309361645683979,0.0003417765494129199,0.5896754410459804,0.6257556236177837,0.04524967204221697
2023-02-28,0.3892833607036138,0.24982658285509485,0.3610436063184672,0.5280476568850977,0.6396644462380208,0.17124593945936373,0.06691187669690346,0.024602755134051413,0.1502478853985052,0.49462699886830397,0.18950893590711637,0.36960768412497935,0.14016862681023146,0.14501279896832886,0.1368650725290651,0.3898441537946009,0.7385049404644582,0.4697109089726186,0.7856613104423246,0.30329076189314474,0.31108909463586576,0.2248661146851909,0.046944693652403946,0.8614695250893225,0.1791025640880204,0.0013738207385741719,0.37265730091274074,0.45455721104091407,0.028704851131673204
2023-03-31,0.05317116375512654,0.06742666953426091,0.05758353432517216,0.17769378325493335,0.6150830932583267,0.2385476516401207,0.19220423752371685,0.18474913283870675,0.20188530485185574,0.6453372083104545,4.853616530697824e-05,0.1291750628442574,0.2985174056160458,0.318563363059984,0.08975019947639906,0.13647911945131863,0.5273979250941683,0.16232341605661493,0.6490642521348045,0.44002894473455934,0.23603178536657232,0.04889532914155037,0.15771484144889392,0.8545891790897708,0.29571306871060876,0.00025266122468114993,0.21253092127972428,0.2868380185346635,0.07176872895004749
2023-04-28,0.06408457840970583,0.015565911454012316,0.03593877141558288,0.03437812797319706,0.6049979422024001,0.4237687563704782,0.07671427548911525,0.6462249916782205,0.187482025214618,0.6156475556512675,0.2727478987031111,0.017988716826421225,0.17691900513505987,0.44600562764771046,8.440424672617741e-05,0.0005590582276538969,0.38115835629980566,0.0006989385368747492,0.39408883435985786,0.5550721065171259,0.15774043687743866,0.028788745739715682,0.3170677938184261,0.8588838815099351,0.38511386078812104,0.22441231897899616,0.03516239183256631,0.10680524731302599,0.059301594917575584
2023-05-31,0.1869686899114329,0.12947146501585294,0.1280364123804827,0.02577485921603595,0.6300960199787501,0.6401948655003897,0.0334869616357556,0.6977764511130445,0.2714198570372961,0.6115834499029621,0.6522850480137428,0.15044789461481,0.1354535509037651,0.5321930631153029,0.0034412794309329753,0.03966287694114068,0.220328058597134,0.1590841550752632,0.06610924663622031,0.5702216586667248,0.3258871013312634,0.22597816426902229,0.5301681208077123,0.8597011195548607,0.3779008366187919,0.37751382831489366,0.019105534010113168,0.023937336929136688,0.015149268797663984
2023-06-30,0.30821215827041226,0.22018846872796471,0.31201016755737854,0.24129717209093982,0.3742303282906432,0.6928712902219201,0.11110421853720975,0.6928658853009984,0.3902083002538945,0.6555758124514353,0.7284411689644239,0.4855712346092912,0.17528829451672912,0.5866723183881989,0.013477056123241571,0.10744827100515353,0.14563656626582222,0.36416937040442765,0.013584046485581536,0.6141911260641926,0.5383508463616498,0.44065358487272566,0.5706291798463785,0.7348927417640221,0.47237951000645984,0.388958349258788,0.18392834264466862,0.07062543164558355,0.0027465323847475354
2023-07-31,0.45692689765932826,0.35430770165015535,0.4716473237423746,0.40093312670336323,0.16459784117086818,0.7296987145730314,0.16959527175902822,0.6213592777237629,0.24081774686912805,0.6697042169942788,0.7467418581632823,0.794411015371921,0.04137128276650204,0.6282725058079257,0.02471237397678072,0.17807900386604847,0.04293260883750383,0.5382961900175636,0.16387254204624369,0.6739023006584823,0.7115385698136226,0.5227569244561671,0.5476322366530337,0.4981493795106402,0.5704387771435733,0.3825862670416408,0.5239211679196449,0.30174873013245096,0.008809380992064297
2023-08-31,0.6927240570675082,0.6612626051895967,0.620735952872135,0.7572953464704566,0.016839004808575253,0.7781967655708475,0.19071727860671772,0.5576571812577473,0.0035867810131269273,0.7738510257141277,0.8710362447037624,0.8456372845128879,0.006215640457306604,0.7192873776418598,0.3688474057017256,0.3660100112349626,0.10438022580912909,0.812942368910772,0.5852252439957548,0.8645171774789677,0.6963759086013833,0.822877588387626,0.5362187167011301,0.20513182246409778,0.8592673226297791,0.450540128833125,0.8209564755743975,0.7398894558158335,0.05237104737112419
2023-09-29,0.6905373408507005,0.7512722371361689,0.7548538947065838,0.8000201692763464,0.046578648398316824,0.6622918510759663,0.19985883288922923,0.30839979269117923,0.24366856313845453,0.8055126696759052,0.9034058744486748,0.8680293563977526,0.23659928459451463,0.5568073158033651,0.5991260600094719,0.5534680733291908,0.2517673524063643,0.8573150157500862,0.783367253873084,0.893695651861968,0.6833049094033046,0.7905311455444611,0.5557808164611505,0.06326253836861417,0.9072890499440358,0.5395786112570313,0.8689527575015484,0.8549527887570071,0.07834839396092441
2023-10-31,0.35137510522085114,0.6941786869145627,0.8062154509368997,0.6813054737163793,0.3439105908331078,0.24018939222177405,0.6088155812595246,0.08440418728406474,0.5059426949528808,0.631583331493998,0.7983969150875354,0.9078276399994908,0.4758966932535762,0.20412519055225498,0.6381958902549664,0.5713887862845275,0.41487564990910997,0.8276713609933575,0.8672886277810946,0.8703447392301494,0.6933481686295488,0.7476317428915499,0.7461042599666279,0.08668907207949883,0.9038202668872298,0.4866386622093164,0.8074994464367998,0.850205247596094,0.05456674213835733
