is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
-10.33,-2.9,17.64,10.11,-0.81,-0.68,-1.12,-0.8,-38.05,-4.81
-0.48,28.13,15.21,17.49,-0.29,1.38,-0.4,2.47,-25.4,-8.15
15.63,9.29,16.52,14.94,0.7,0.35,1.02,0.56,-21.49,-8.52
7.56,-19.94,18.68,19.48,0.19,-1.23,0.28,-1.96,-19.67,-13.81
-8.92,31.13,14.01,20.54,-0.92,1.32,-1.2,1.56,-37.71,-11.04
2.56,-1.33,14.9,22.63,-0.1,-0.24,-0.14,-0.29,-19.8,-18.73
6.19,14.89,12.86,18.31,0.17,0.59,0.23,1.14,-22.09,-8.64
13.33,-12.01,15.73,17.47,0.59,-0.92,0.81,-1.41,-17.02,-13.32
7.31,-26.48,19.36,15.32,0.17,-1.99,0.23,-2.22,-22.25,-17.93
3.24,2.8,18.49,16.53,-0.04,-0.07,-0.06,-0.14,-28.14,-12.51
1.0,-33.17,15.29,22.11,-0.2,-1.68,-0.26,-2.63,-26.19,-25.73
18.0,50.87,15.54,10.95,0.9,4.28,1.34,8.06,-17.24,-2.85
-2.65,36.84,13.96,10.12,-0.48,3.24,-0.68,4.96,-32.26,-4.48
3.88,15.78,18.33,11.73,-0.01,1.0,-0.01,1.49,-18.38,-10.71
13.17,22.5,14.89,16.36,0.62,1.13,0.84,1.58,-22.27,-7.28
8.81,34.37,18.05,14.96,0.27,2.03,0.35,3.12,-21.21,-6.41
4.41,3.12,19.11,10.11,0.02,-0.09,0.03,-0.18,-30.12,-7.13
2.99,-8.79,18.31,10.7,-0.06,-1.2,-0.07,-1.71,-22.17,-11.71
6.69,3.15,20.4,12.12,0.13,-0.07,0.17,-0.09,-30.35,-7.84
2.19,43.19,16.63,14.86,-0.11,2.64,-0.16,3.32,-22.7,-8.71
11.97,9.58,18.87,14.54,0.42,0.38,0.57,0.55,-30.45,-7.88
0.77,38.75,17.71,11.61,-0.18,2.99,-0.24,6.27,-31.73,-4.07
22.37,-1.77,17.97,25.05,1.02,-0.23,1.43,-0.31,-20.57,-14.74
15.43,3.11,16.02,11.54,0.71,-0.08,1.01,-0.12,-13.03,-6.79
12.63,-5.64,19.46,18.9,0.44,-0.51,0.65,-0.72,-24.06,-11.52
7.26,2.33,17.47,18.97,0.19,-0.09,0.26,-0.14,-21.83,-10.7
-5.01,-11.03,14.12,15.87,-0.64,-0.95,-0.92,-1.17,-28.65,-10.01
28.44,24.75,17.27,12.99,1.42,1.6,2.07,2.73,-10.87,-4.95
13.24,10.73,15.08,12.14,0.61,0.55,0.79,0.85,-26.7,-7.33
3.6,22.44,15.85,14.69,-0.03,1.26,-0.03,1.73,-20.96,-3.67
5.83,-1.36,17.93,21.92,0.1,-0.24,0.14,-0.37,-21.78,-16.75
3.12,23.97,14.94,18.67,-0.06,1.07,-0.08,1.99,-22.94,-9.44
15.93,12.4,15.02,10.76,0.79,0.78,1.14,1.36,-21.66,-4.08
4.95,-9.02,17.56,18.14,0.05,-0.72,0.08,-1.13,-27.77,-13.5
11.04,12.88,15.5,18.79,0.45,0.47,0.62,0.66,-14.6,-15.59
-7.4,26.48,18.17,20.12,-0.63,1.12,-0.8,1.55,-42.7,-11.59
9.53,6.27,17.35,16.52,0.32,0.14,0.42,0.25,-15.68,-7.03
6.29,43.46,16.02,12.42,0.14,3.18,0.2,6.72,-23.54,-2.67
12.34,28.2,14.29,13.83,0.58,1.75,0.83,2.31,-17.7,-6.16
2.48,15.44,15.81,9.9,-0.1,1.16,-0.13,1.89,-16.77,-4.53
10.65,-31.66,12.54,22.75,0.53,-1.57,0.72,-2.25,-16.18,-23.01
6.44,-4.95,14.27,15.94,0.17,-0.56,0.23,-0.88,-18.96,-13.45
4.97,-0.79,19.66,14.78,0.05,-0.32,0.06,-0.4,-24.7,-9.66
9.4,-25.26,14.11,14.47,0.38,-2.02,0.51,-2.33,-15.94,-17.47
-2.44,18.71,18.39,13.53,-0.35,1.09,-0.44,1.59,-30.11,-5.36
9.6,-19.26,14.95,9.93,0.37,-2.34,0.55,-3.49,-14.51,-12.9
-10.43,39.33,16.1,17.83,-0.9,1.98,-1.19,2.82,-35.81,-6.2
9.46,39.83,16.14,15.22,0.34,2.35,0.47,3.32,-29.26,-6.32
-5.65,3.61,17.69,26.89,-0.55,-0.01,-0.69,-0.02,-38.35,-20.26
7.87,12.77,18.04,15.99,0.21,0.55,0.28,0.74,-23.53,-8.84
13.05,-2.22,15.71,14.43,0.58,-0.43,0.83,-0.66,-19.35,-8.77
15.05,8.87,16.74,14.07,0.66,0.35,0.94,0.5,-30.12,-9.65
7.1,21.86,14.53,15.94,0.21,1.12,0.28,1.67,-13.48,-6.27
-7.79,29.49,14.55,11.37,-0.81,2.24,-1.19,2.84,-32.45,-7.31
10.86,10.65,20.28,20.68,0.34,0.32,0.48,0.49,-21.64,-13.31
