is_return,oos_return,is_vol,oos_vol,is_sharpe,oos_sharpe,is_sortino,oos_sortino,is_drawdown,oos_drawdown
7.38,-4.56,14.12,25.36,0.24,-0.34,0.35,-0.53,-12.72,-17.02
1.75,-2.6,15.65,12.49,-0.14,-0.53,-0.18,-0.96,-21.04,-7.75
3.34,-1.08,17.96,13.27,-0.04,-0.38,-0.05,-0.62,-27.84,-7.19
2.07,7.89,18.74,8.59,-0.1,0.45,-0.13,0.61,-21.28,-4.94
30.13,10.73,16.16,18.79,1.62,0.36,2.13,0.43,-16.21,-15.14
12.29,4.75,21.55,14.59,0.38,0.05,0.58,0.07,-22.97,-9.62
16.29,-7.56,15.5,18.69,0.79,-0.62,1.05,-0.81,-19.24,-10.97
10.33,58.94,18.5,14.77,0.34,3.72,0.47,5.51,-28.86,-5.39
5.28,-11.41,18.49,17.29,0.07,-0.89,0.09,-0.95,-24.29,-19.15
13.39,26.29,16.17,14.32,0.58,1.56,0.81,2.16,-15.72,-7.07
2.63,-4.44,16.39,23.51,-0.08,-0.36,-0.1,-0.58,-19.44,-11.39
19.95,-7.1,13.81,27.59,1.15,-0.4,1.57,-0.69,-16.56,-15.98
9.55,13.06,14.19,18.57,0.39,0.49,0.6,0.69,-16.98,-15.31
-1.56,23.51,19.15,16.47,-0.29,1.18,-0.38,1.62,-33.76,-8.65
-3.17,32.27,17.43,12.08,-0.41,2.34,-0.57,5.84,-26.31,-3.69
8.16,-13.61,15.19,11.16,0.27,-1.58,0.42,-1.97,-17.34,-12.33
13.19,-26.53,18.9,18.53,0.49,-1.65,0.63,-2.08,-21.56,-16.02
2.28,-0.38,16.95,14.58,-0.1,-0.3,-0.13,-0.38,-23.3,-10.47
25.32,19.96,16.19,18.85,1.32,0.85,1.94,1.32,-16.16,-8.48
13.89,-15.68,13.16,9.83,0.75,-2.0,1.04,-3.02,-17.7,-12.97
5.73,33.71,16.68,18.36,0.1,1.62,0.14,1.81,-26.27,-10.93
4.8,49.24,17.84,16.78,0.04,2.7,0.06,4.64,-21.32,-12.63
11.34,65.24,18.09,15.82,0.41,3.87,0.57,7.17,-21.78,-5.68
-1.98,32.32,17.68,20.63,-0.34,1.37,-0.49,1.83,-32.88,-10.23
5.54,14.4,13.6,11.26,0.11,0.92,0.17,1.0,-23.63,-3.88
17.34,36.49,15.99,19.46,0.83,1.67,1.19,2.69,-14.34,-8.51
5.7,2.36,15.38,18.44,0.11,-0.09,0.14,-0.14,-19.9,-8.52
10.43,10.78,16.59,21.65,0.39,0.31,0.55,0.38,-20.16,-21.23
21.5,35.93,13.72,16.13,1.28,1.98,1.69,2.42,-14.15,-5.62
19.89,23.16,19.43,11.78,0.82,1.63,1.11,2.74,-16.63,-4.03
9.53,24.69,15.03,17.01,0.37,1.22,0.51,2.01,-23.3,-6.89
