date,ticker,shares_holding,current_price,current_value,yesterday_value,return_change,pnl_dollar,entry_price,cum_pnl,weight,shares_change,is_rebalance_day,ym
2022-04-01,AWKNRGPCG,3942.9900000000002,200.15200805664062,99800.31813240051,0.0,0.0,0.0,200.15200805664062,0.0,1.0,3942.9900000000002,3,606612
2022-04-04,AWKNRGPCG,3942.9900000000002,196.94400787353516,98115.35662872315,99800.31813240051,-0.05064997792656514,-1684.9615036773682,200.15200805664062,-1684.9615036773682,1.0,0.0,0,606612
2022-04-05,AWKNRGPCG,3942.9900000000002,198.14514636993408,98291.67461815834,98115.35662872315,0.005376138664503859,176.31798943519595,200.15200805664062,-1508.6435142421724,1.0,0.0,0,606612
2022-04-06,AWKNRGPCG,3942.9900000000002,200.83653831481934,100043.57699308396,98291.67461815834,0.05363742566027945,1751.9023749256132,200.15200805664062,243.25886068344107,0.9999999999999999,0.0,0,606612
2022-04-07,AWKNRGPCG,3942.9900000000002,202.88766479492188,100997.71547512055,100043.57699308396,0.029064958415797336,954.1384820365906,200.15200805664062,1197.3973427200317,1.0,0.0,0,606612
2022-04-08,AWKNRGPCG,3942.9900000000002,202.67917156219482,102544.93179385187,100997.71547512055,0.04616156315942056,1547.216318731308,200.15200805664062,2744.61366145134,1.0,0.0,0,606612
2022-04-11,AWKNRGPCG,3942.9900000000002,200.50536632537842,99671.13476801873,102544.93179385187,-0.08310186662198141,-2873.7970258331297,200.15200805664062,-129.18336438179017,1.0,0.0,0,606612
2022-04-12,AWKNRGPCG,3942.9900000000002,200.56407737731934,100855.26545663833,99671.13476801873,0.03587857186555438,1184.1306886196137,200.15200805664062,1054.9473242378235,1.0,0.0,0,606612
2022-04-13,AWKNRGPCG,3942.9900000000002,199.51443481445312,101360.38281547546,100855.26545663833,0.014659915706647283,505.1173588371277,200.15200805664062,1560.0646830749513,1.0,0.0,0,606612
2022-04-14,AWKNRGPCG,3942.9900000000002,198.4483461380005,100038.0067241764,101360.38281547546,-0.0378911660341068,-1322.3760912990572,200.15200805664062,237.6885917758941,1.0,0.0,0,606612
2022-04-18,AWKNRGPCG,3942.9900000000002,195.5161075592041,99534.15436346055,100038.0067241764,-0.01581336063367393,-503.8523607158662,200.15200805664062,-266.1637689399721,1.0,0.0,0,606612
2022-04-19,AWKNRGPCG,3942.9900000000002,197.3028440475464,100164.89137949943,99534.15436346055,0.01960318441756552,630.7370160388947,200.15200805664062,364.57324709892265,1.0,0.0,0,606612
2022-04-20,AWKNRGPCG,3942.9900000000002,201.6827268600464,102386.92293971061,100164.89137949943,0.06594127312299351,2222.031560211182,200.15200805664062,2586.604807310104,1.0,0.0,0,606612
2022-04-21,AWKNRGPCG,3942.9900000000002,198.23539447784424,100536.78960339547,102386.92293971061,-0.05292036059673426,-1850.133336315155,200.15200805664062,736.4714709949492,0.9999999999999999,0.0,0,606612
2022-04-22,AWKNRGPCG,3942.9900000000002,195.35123825073242,98082.03210094452,100536.78960339547,-0.07216532018862987,-2454.757502450943,200.15200805664062,-1718.2860314559937,1.0,0.0,0,606612
2022-04-25,AWKNRGPCG,3942.9900000000002,191.69150829315186,96313.72270960808,98082.03210094452,-0.05411539547767983,-1768.3093913364412,200.15200805664062,-3486.595422792435,1.0,0.0,0,606612
2022-04-26,AWKNRGPCG,3942.9900000000002,189.46840476989746,96628.32658361435,96313.72270960808,0.009789001766220527,314.60387400627155,200.15200805664062,-3171.9915487861635,1.0,0.0,0,606612
2022-04-27,AWKNRGPCG,3942.9900000000002,187.2493772506714,96320.16191565513,96628.32658361435,-0.01055449646916938,-308.16466795921326,200.15200805664062,-3480.1562167453762,1.0,0.0,0,606612
2022-04-28,AWKNRGPCG,3942.9900000000002,192.25242519378662,98899.0557537365,96320.16191565513,0.07978401815087732,2578.8938380813597,200.15200805664062,-901.2623786640168,1.0,0.0,0,606612
2022-04-29,AWKNRGPCG,3942.9900000000002,185.1548728942871,96052.39724311829,98899.0557537365,-0.0871870937166642,-2846.65851061821,200.15200805664062,-3747.9208892822267,1.0,0.0,0,606612
2022-05-02,AESNEENRG,3303.3,113.28882217407227,95748.57175216675,31396.833873062133,0.02618357673158005,822.081408843994,114.3713150024414,-1040.1457089233397,1.0,2335.2400000000002,3,606615
