date,current_value,cum_pnl
2022-04-01,99800.31813240051,0.0
2022-04-04,98115.35662872315,-1684.9615036773682
2022-04-05,98291.67461815834,-1508.6435142421724
2022-04-06,100043.57699308396,243.25886068344107
2022-04-07,100997.71547512055,1197.3973427200317
2022-04-08,102544.93179385187,2744.61366145134
2022-04-11,99671.13476801873,-129.18336438179017
2022-04-12,100855.26545663833,1054.9473242378235
2022-04-13,101360.38281547546,1560.0646830749513
2022-04-14,100038.0067241764,237.6885917758941
2022-04-18,99534.15436346055,-266.1637689399721
2022-04-19,100164.89137949943,364.57324709892265
2022-04-20,102386.92293971061,2586.604807310104
2022-04-21,100536.78960339547,736.4714709949492
2022-04-22,98082.03210094452,-1718.2860314559937
2022-04-25,96313.72270960808,-3486.595422792435
2022-04-26,96628.32658361435,-3171.9915487861635
2022-04-27,96320.16191565513,-3480.1562167453762
2022-04-28,98899.0557537365,-901.2623786640168
2022-04-29,96052.39724311829,-3747.9208892822267
2022-05-02,95748.57175216675,-1040.1457089233397
2022-05-03,96566.148440094,-222.56902099609363
2022-05-04,100471.33121917726,3682.613758087158
2022-05-05,98532.6739656067,1743.9565045166014
2022-05-06,101419.73975372314,4631.022292633057
2022-05-09,99280.57589164734,2491.858430557251
2022-05-10,99022.90974380494,2234.1922827148437
2022-05-11,99205.54394012451,2416.8264790344238
2022-05-12,97297.76062774658,509.0431666564946
2022-05-13,99890.4540753174,3101.736614227295
2022-05-16,101303.05573287964,4514.338271789551
2022-05-17,104234.46027267457,7445.742811584472
2022-05-18,103434.78938873291,6646.071927642823
2022-05-19,104260.03157546997,7471.314114379883
2022-05-20,103964.80523925781,7176.0877781677245
2022-05-23,105899.71400131226,9110.996540222168
2022-05-24,106716.22578659058,9927.508325500488
2022-05-25,107967.87096237183,11179.15350128174
2022-05-26,108842.66641159057,12053.94895050049
2022-05-27,110574.41020126342,13785.692740173341
2022-05-31,108816.3088735962,12027.591412506104
2022-06-01,108155.25793792725,3072.9231175231903
2022-06-02,109827.93516174317,4745.600341339108
2022-06-03,109540.60847640992,4458.2736560058565
2022-06-06,110197.78435974121,5115.449539337155
2022-06-07,110460.55621643068,5378.221396026608
2022-06-08,108655.16371170044,3572.8288912963844
2022-06-09,106881.3416607666,1799.006840362546
2022-06-10,105507.96508987427,425.63026947021217
2022-06-13,100605.38605651856,-4476.948763885502
2022-06-14,98028.16880722047,-7054.166013183597
2022-06-15,98707.5898223114,-6374.744998092655
2022-06-16,95381.5740209198,-9700.760799484256
2022-06-17,95225.28984451294,-9857.044975891116
2022-06-21,96802.97165504456,-8279.3631653595
2022-06-22,98553.2990171051,-6529.0358032989525
2022-06-23,102164.53183319092,-2917.802987213138
2022-06-24,103724.06281486512,-1358.2720055389436
2022-06-27,104534.83107391358,-547.5037464904813
2022-06-28,102629.79578521728,-2452.539035186771
2022-06-29,102964.1753100586,-2118.159510345462
2022-06-30,104491.33882537842,-590.9959950256375
2022-07-01,107711.1104870224,-2733.4058386230504
2022-07-05,102158.95253811836,-8285.563787527088
2022-07-06,102011.61206866265,-8432.904256982805
2022-07-07,103894.81416346549,-6549.70216217995
2022-07-08,103853.15418522834,-6591.362140417102
2022-07-11,103608.30014376639,-6836.216181879046
2022-07-12,104224.69071724892,-6219.825608396533
2022-07-13,104240.98983120918,-6203.526494436267
2022-07-14,104467.65804170608,-5976.858283939365
2022-07-15,105107.37159710884,-5337.144728536608
2022-07-18,105507.97290727615,-4936.543418369297
2022-07-19,108409.75424417495,-2034.7620814704924
2022-07-20,108268.07675130843,-2176.439574337009
2022-07-21,107536.4851891136,-2908.0311365318335
2022-07-22,107615.88596440315,-2828.6303612422976
2022-07-25,108863.64244829176,-1580.8738773536713
2022-07-26,109297.11120603561,-1147.4051196098358
2022-07-27,110340.10194920539,-104.41437644005168
2022-07-28,112601.74866539954,2157.2323397541013
2022-07-29,115342.27104638098,4897.7547207355465
2022-08-01,114080.71162208557,2339.9535623550414
2022-08-02,114022.79987567902,2282.0418159484866
2022-08-03,115210.11783370972,3469.359773979187
2022-08-04,117263.22888889312,5522.4708291625975
2022-08-05,116499.17199562074,4758.4139358901975
2022-08-08,117393.93901763915,5653.18095790863
2022-08-09,117753.06317752838,6012.305117797851
2022-08-10,119172.90069824219,7432.142638511657
2022-08-11,121852.66495738983,10111.9068976593
2022-08-12,124613.4639761734,12872.70591644287
2022-08-15,126372.77519500731,14632.017135276794
2022-08-16,126862.31894641876,15121.560886688232
2022-08-17,125823.6241398239,14082.866080093383
2022-08-18,126550.16148620605,14809.403426475525
2022-08-19,126118.4856980133,14377.727638282777
2022-08-22,123502.91736965178,11762.159309921264
2022-08-23,122902.46850833892,11161.710448608399
2022-08-24,123864.58860961912,12123.830549888611
2022-08-25,126566.26240509033,14825.504345359801
2022-08-26,125209.1152873993,13468.357227668763
2022-08-29,125269.2689063263,13528.510846595764
2022-08-30,122871.08304603577,11130.324986305237
2022-08-31,123022.63142555236,11281.873365821837
2022-09-01,123874.13141040801,0.0
2022-09-02,122160.36432468414,-1713.767085723877
2022-09-06,121974.03661521911,-1900.0947951889038
2022-09-07,125780.45907577514,1906.3276653671264
2022-09-08,125942.89670455933,2068.765294151306
2022-09-09,126742.60481582642,2868.473405418396
2022-09-12,127912.068158226,4037.936747817993
2022-09-13,123654.58406948089,-219.547340927124
