,date,ticker,shares_holding,current_price,current_value,yesterday_value,return_change,pnl_dollar,entry_price,cum_pnl,weight,shares_change,is_rebalance_day,ym
1864,2022-04-01,AWK,216.4,153.7279815673828,33266.73521118164,0.0,0.0,0.0,153.7279815673828,0.0,0.33333295758685044,216.4,True,202204
1881,2022-04-01,NRG,968.06,34.36443328857422,33266.833289337155,0.0,0.0,0.0,34.36443328857422,0.0,0.33333394033076696,968.06,True,202204
1882,2022-04-01,PCG,2758.53,12.059593200683594,33266.749631881714,0.0,0.0,0.0,12.059593200683594,0.0,0.33333310208238254,2758.53,True,202204
2462,2022-05-02,AES,1833.2,17.39264678955078,31884.200094604494,0.0,0.0,0.0,17.39264678955078,0.0,0.3329992240211454,1833.2,True,202205
2479,2022-05-02,NEE,509.22,62.614234924316406,31884.420708160404,0.0,0.0,-0.0,62.614234924316406,0.0,0.33300152811353945,509.22,True,202205
2481,2022-05-02,NRG,960.88,33.28194046020508,31979.950949401857,31396.833873062133,0.02618357673158005,822.081408843994,34.36443328857422,-1040.1457089233397,0.33399924786531515,-7.17999999999995,True,202205
3094,2022-06-01,AWK,259.24,138.93309020996094,36017.01430603027,0.0,0.0,0.0,138.93309020996094,0.0,0.33301214377114474,259.24,True,202206
3107,2022-06-01,FE,998.52,36.06999969482422,36016.61609527588,0.0,0.0,-0.0,36.06999969482422,0.0,0.3330084619274509,998.52,True,202206
3109,2022-06-01,NEE,526.1800000000001,68.6488037109375,36121.6275366211,34737.05815658569,0.006341517698617697,220.2856690979004,62.80874305199343,3072.9231175231903,0.33397939430140433,16.960000000000036,True,202206
3737,2022-07-01,FE,1079.1299999999999,33.332542419433594,35970.14650108337,32487.73174758911,0.02448550472049353,795.4785090637207,35.865514200982666,-2733.4058386230504,0.3339501963951736,80.6099999999999,True,202207
3742,2022-07-01,PCG,3564.09,10.064403533935547,35870.43999126434,0.0,0.0,0.0,10.064403533935547,0.0,0.33302451185466336,3564.09,True,202207
3747,2022-07-01,VST,1633.56,21.958498001098633,35870.52399467468,0.0,0.0,0.0,21.958498001098633,0.0,0.33302529175016304,1633.56,True,202207
4334,2022-08-01,ETR,758.29,50.09786605834961,37988.71085338592,0.0,0.0,0.0,50.09786605834961,0.0,0.33299854386630123,758.29,True,202208
4341,2022-08-01,NRG,1107.34,34.30671310424805,37989.19568885803,0.0,0.0,-0.0,34.30671310424805,0.0,0.3330027938001,1107.34,True,202208
4342,2022-08-01,PCG,3553.4,10.722914695739746,38102.805079841615,38042.28354214668,0.00460407419019267,175.14949579238893,10.064403533935547,2339.9535623550414,0.33399866233359876,-10.690000000000055,True,202208
5014,2022-09-01,AWK,296.81,139.11618041992188,41291.07351043701,0.0,0.0,0.0,139.11618041992188,0.0,0.33333088224558644,296.81,True,202209
5020,2022-09-01,DUK,441.68,93.48759460449219,41291.60078491211,0.0,0.0,0.0,93.48759460449219,0.0,0.33333513877977233,441.68,True,202209
5026,2022-09-01,EXC,1057.01,39.064395904541016,41291.457115058896,0.0,0.0,0.0,39.064395904541016,0.0,0.3333339789746413,1057.01,True,202209
5643,2022-10-03,ATO,377.83,95.76652526855469,36183.46624221802,0.0,0.0,0.0,95.7665252685547,-5.369287237044773e-12,0.3326736664403977,377.83,True,202210
5650,2022-10-03,DUK,440.57,82.37521362304688,36292.04786590576,35501.85303527832,0.024833388749396917,881.6313177490234,93.48759460449219,-4895.781688995361,0.3336719745244946,-1.1100000000000136,True,202210
5656,2022-10-03,EXC,1073.11,33.817718505859375,36290.13190582275,34798.14626777649,0.027229047283456712,947.5203701019287,38.98567936465342,-5545.790477180479,0.33365435903510776,16.09999999999991,True,202210
6276,2022-11-01,CMS,711.58,50.858070373535156,36189.58571640015,0.0,0.0,0.0,50.858070373535156,0.0,0.3333347078644967,711.58,True,202211
6293,2022-11-01,PEG,729.29,49.62260437011719,36189.26914108276,0.0,0.0,0.0,49.62260437011719,0.0,0.3333317919554347,729.29,True,202211
6295,2022-11-01,SO,632.57,57.21019744873047,36189.454600143436,0.0,0.0,0.0,57.21019744873047,0.0,0.33333350018006863,632.57,True,202211
6908,2022-12-01,D,755.98,50.907466888427734,38485.0268183136,0.0,0.0,-0.0,50.907466888427734,0.0,0.33300632113216266,755.98,True,202212
6915,2022-12-01,EVRG,756.15,50.89603805541992,38485.03917560577,0.0,0.0,-0.0,50.89603805541992,0.0,0.3330064280583297,756.15,True,202212
6925,2022-12-01,SO,646.0200000000001,59.747982025146484,38598.39134788514,37750.132084045414,0.0011827483279289433,44.64890560150147,57.26303358778622,1605.3263895034795,0.33398725080950753,13.450000000000045,True,202212
7535,2023-01-03,CEG,510.18,79.68780517578125,40655.12444458008,0.0,0.0,-0.0,79.68780517578125,0.0,0.3330015427367951,510.18,True,202301
7538,2023-01-03,D,767.91,53.099945068359375,40775.97881744384,39090.64078598023,0.02690812086087219,1051.8556867980958,50.94152851633542,1657.4696544647175,0.33399144728535907,11.92999999999995,True,202301
7551,2023-01-03,NRG,1385.31,29.347793579101562,40655.79192306518,0.0,0.0,0.0,29.347793579101562,0.0,0.3330070099778458,1385.31,True,202301
8135,2023-02-01,CEG,513.03,83.09285736083984,42629.128611831664,42367.49235992432,0.0005858644693457004,24.821608428955077,79.70672102617483,1737.1895237731903,0.33399261721070483,2.849999999999966,True,202302
8144,2023-02-01,ETR,880.12,48.29225158691406,42502.9764666748,0.0,0.0,0.0,48.292251586914055,6.253628725971794e-12,0.333004234700911,880.12,True,202302
8149,2023-02-01,NEE,628.9700000000001,67.57530212402344,42502.83777694703,0.0,0.0,-0.0,67.57530212402344,0.0,0.33300314808838416,628.9700000000001,True,202302
8704,2023-03-01,AWK,304.97,128.00082397460938,39036.411287536626,0.0,0.0,-0.0,128.00082397460938,0.0,0.3333317339360058,304.97,True,202303
8718,2023-03-01,LNT,867.12,45.0186767578125,39036.59499023438,0.0,0.0,-0.0,45.0186767578125,0.0,0.33333330257248517,867.12,True,202303
8729,2023-03-01,XEL,694.49,56.20928955078125,39036.78950012207,0.0,0.0,-0.0,56.20928955078124,4.93464824558032e-12,0.33333496349150904,694.49,True,202303
9392,2023-04-03,AES,2012.39,20.505306243896484,41264.67323215485,0.0,0.0,-0.0,20.505306243896484,0.0,0.33333570381260863,2012.39,True,202304
9395,2023-04-03,CEG,551.6,74.8076171875,41263.881640625004,0.0,0.0,-0.0,74.8076171875,0.0,0.333329309342495,551.6,True,202304
9398,2023-04-03,D,869.85,47.43873596191406,41264.58447647095,0.0,0.0,-0.0,47.43873596191406,0.0,0.3333349868448965,869.85,True,202304
9962,2023-05-01,AES,2065.76,20.07855796813965,41477.48190826416,41278.20718132019,-0.021132650165349168,-872.3179118156434,20.494280976935585,-858.7839626502933,0.33365202729855287,53.37000000000012,True,202305
9965,2023-05-01,CEG,551.39,75.22744750976562,41479.66228240967,41683.95732727051,-0.004522058196246887,-188.49728088378907,74.8076171875,231.49024139404295,0.3336695666047125,-0.21000000000003638,True,202305
9977,2023-05-01,FE,1213.7799999999997,34.07244110107422,41356.44755966186,0.0,0.0,-0.0,34.07244110107422,0.0,0.33267840609673466,1213.7799999999997,True,202305
10622,2023-06-01,AES,2387.2200000000003,17.234966278076172,41143.656198349,35352.570175170906,0.007092377221383233,250.7337634277344,20.055385817253885,-6732.961932315821,0.33391051683050776,321.46000000000004,True,202306
10628,2023-06-01,D,967.61,42.41061019897461,41036.93053462982,0.0,0.0,-0.0,42.41061019897461,0.0,0.3330443609069858,967.61,True,202306
10633,2023-06-01,ES,684.13,59.984249114990234,41037.02434703827,0.0,0.0,-0.0,59.984249114990234,0.0,0.33304512226250654,684.13,True,202306
